"Adam Donachie", "BAL", "Catcher", 74, 180, 22.99
"Ramon Hernandez", "BAL", "Catcher", 72, 210, 30.78
"Chris Gomez", "BAL", "First Baseman", 73, 188, 35.71
"Miguel Tejada", "BAL", "Shortstop", 69, 209, 30.77
"Aubrey Huff", "BAL", "Third Baseman", 76, 231, 30.19
"Jeff Fiorentino", "BAL", "Outfielder", 73, 188, 23.88
"Nick Markakis", "BAL", "Outfielder", 74, 185, 23.29
"Corey Patterson", "BAL", "Outfielder", 69, 180, 27.55
"Jay Gibbons", "BAL", "Designated Hitter", 72, 197, 30
"Hayden Penn", "BAL", "Starting Pitcher", 75, 185, 22.38
"Daniel Cabrera", "BAL", "Starting Pitcher", 79, 230, 25.76
"Jaret Wright", "BAL", "Starting Pitcher", 74, 230, 31.17
"Scott Williamson", "BAL", "Relief Pitcher", 72, 180, 31.03
"Danys Baez", "BAL", "Relief Pitcher", 75, 225, 29.47
"Jamie Walker", "BAL", "Relief Pitcher", 74, 195, 35.67
"Kurt Birkins", "BAL", "Relief Pitcher", 74, 188, 26.55
"Sendy Rleal", "BAL", "Relief Pitcher", 73, 180, 26.69
"Jeremy Guthrie", "BAL", "Relief Pitcher", 73, 200, 27.9
"Toby Hall", "CWS", "Catcher", 75, 240, 31.36
"Tadahito Iguchi", "CWS", "Second Baseman", 69, 185, 32.24
"Alex Cintron", "CWS", "Shortstop", 74, 199, 28.2
"Josh Fields", "CWS", "Third Baseman", 73, 215, 24.21
"Brian N. Anderson", "CWS", "Outfielder", 74, 205, 24.97
"Pablo Ozuna", "CWS", "Outfielder", 70, 186, 32.51
"Jermaine Dye", "CWS", "Outfielder", 77, 220, 33.09
"Rob Mackowiak", "CWS", "Outfielder", 70, 195, 30.69
"Jerry Owens", "CWS", "Designated Hitter", 75, 195, 26.03
"Heath Phillips", "CWS", "Starting Pitcher", 75, 200, 24.94
"Jose Contreras", "CWS", "Starting Pitcher", 76, 224, 35.23
"Javier Vazquez", "CWS", "Starting Pitcher", 74, 205, 30.6
"Mike MacDougal", "CWS", "Relief Pitcher", 76, 195, 29.99
"Andrew Sisco", "CWS", "Relief Pitcher", 81, 260, 24.13
"Bobby Jenks", "CWS", "Relief Pitcher", 75, 270, 25.96
"Sean Tracey", "CWS", "Relief Pitcher", 75, 210, 26.29
"Jose Molina", "ANA", "Catcher", 74, 220, 31.74
"Mike Napoli", "ANA", "Catcher", 72, 205, 25.33
"Kendry Morales", "ANA", "First Baseman", 73, 220, 23.7
"Robb Quinlan", "ANA", "First Baseman", 73, 200, 29.95
"Orlando Cabrera", "ANA", "Shortstop", 70, 190, 32.33
"Dallas McPherson", "ANA", "Third Baseman", 76, 230, 26.6
"Reggie Willits", "ANA", "Outfielder", 71, 185, 25.75
"Terry Evans", "ANA", "Outfielder", 75, 200, 25.11
"Garret Anderson", "ANA", "Outfielder", 75, 225, 34.67
"Chone Figgins", "ANA", "Outfielder", 68, 160, 29.1
"John Lackey", "ANA", "Starting Pitcher", 78, 235, 28.35
"Kelvim Escobar", "ANA", "Starting Pitcher", 73, 210, 30.89
"Ervin Santana", "ANA", "Starting Pitcher", 74, 160, 24.14
"Jered Weaver", "ANA", "Starting Pitcher", 79, 205, 24.41
"Phil Seibel", "ANA", "Relief Pitcher", 73, 195, 28.09
"Darren Oliver", "ANA", "Relief Pitcher", 74, 220, 36.4
"Scot Shields", "ANA", "Relief Pitcher", 73, 170, 31.61
"Greg Jones", "ANA", "Relief Pitcher", 74, 195, 30.29
"Jason Varitek", "BOS", "Catcher", 74, 230, 34.89
"Kevin Youkilis", "BOS", "First Baseman", 73, 220, 27.96
"Alex Cora", "BOS", "Shortstop", 72, 180, 31.37
"Mike Lowell", "BOS", "Third Baseman", 75, 210, 33.01
"J.D. Drew", "BOS", "Outfielder", 73, 200, 31.28
"Brandon Moss", "BOS", "Outfielder", 72, 180, 23.46
"Eric Hinske", "BOS", "Outfielder", 74, 235, 29.57
"David Ortiz", "BOS", "Designated Hitter", 76, 230, 31.28
"Tim Wakefield", "BOS", "Starting Pitcher", 74, 210, 40.58
"Matt Clement", "BOS", "Starting Pitcher", 75, 210, 32.55
"Kyle Snyder", "BOS", "Starting Pitcher", 80, 220, 29.47
"Jon Lester", "BOS", "Starting Pitcher", 74, 190, 23.15
"Craig Hansen", "BOS", "Relief Pitcher", 78, 210, 23.29
"Craig Breslow", "BOS", "Relief Pitcher", 73, 180, 26.56
"Brendan Donnelly", "BOS", "Relief Pitcher", 75, 240, 35.66
"J.C. Romero", "BOS", "Relief Pitcher", 71, 198, 30.74
"Julian Tavarez", "BOS", "Relief Pitcher", 74, 195, 33.77
"Nick DeBarr", "BOS", "Relief Pitcher", 76, 220, 23.52
"Kelly Shoppach", "CLE", "Catcher", 73, 210, 26.84
"Joe Inglett", "CLE", "Second Baseman", 70, 180, 28.67
"Hector Luna", "CLE", "Second Baseman", 73, 170, 27.08
"Andy Marte", "CLE", "Third Baseman", 73, 185, 23.36
"Shin-Soo Choo", "CLE", "Outfielder", 71, 178, 24.63
"Grady Sizemore", "CLE", "Outfielder", 74, 200, 24.58
"Trot Nixon", "CLE", "Outfielder", 74, 211, 32.89
"Casey Blake", "CLE", "Outfielder", 74, 210, 33.52
"Paul Byrd", "CLE", "Starting Pitcher", 73, 190, 36.24
"Jake Westbrook", "CLE", "Starting Pitcher", 75, 185, 29.42
"Jeremy Sowers", "CLE", "Starting Pitcher", 73, 175, 23.79
"Brian Slocum", "CLE", "Relief Pitcher", 76, 200, 25.93
"Fernando Cabrera", "CLE", "Relief Pitcher", 76, 170, 25.29
"Juan Lara", "CLE", "Relief Pitcher", 74, 190, 26.09
"Aaron Fultz", "CLE", "Relief Pitcher", 72, 205, 33.49
